iter	Passed	Remaining
764	11881	3649
765	11890	3632
766	11901	3615
767	11910	3598
768	11921	3581
769	11933	3564
770	11943	3547
771	11959	3531
772	11968	3514
773	11979	3497
774	11988	3480
775	11999	3463
776	12008	3446
777	12019	3429
778	12030	3413
779	12039	3395
780	12049	3378
781	12060	3362
782	12070	3345
783	12080	3328
784	12090	3311
785	12100	3294
786	12110	3277
787	12120	3260
788	12130	3243
789	12141	3227
790	12151	3210
791	12160	3193
792	12170	3176
793	12180	3160
794	12190	3143
795	12199	3126
796	12210	3110
797	12220	3093
798	12229	3076
799	12239	3059
800	12249	3043
801	12259	3026
802	12270	3010
803	12280	2993
804	12291	2977
805	12302	2961
806	12311	2944
807	12321	2927
808	12331	2911
809	12341	2895
810	12351	2878
811	12360	2861
812	12370	2845
813	12381	2829
814	12392	2813
815	12403	2796
816	12412	2780
817	12423	2764
818	12433	2747
819	12443	2731
820	12454	2715
821	12464	2699
822	12475	2682
823	12485	2666
824	12496	2650
825	12506	2634
826	12516	2618
827	12526	2602
828	12542	2587
829	12556	2571
830	12571	2556
831	12586	2541
832	12601	2526
833	12615	2511
834	12630	2495
835	12645	2480
836	12655	2464
837	12664	2448
838	12674	2432
839	12684	2416
840	12696	2400
841	12706	2384
842	12716	2368
843	12725	2352
844	12736	2336
845	12747	2320
846	12762	2305
847	12774	2289
848	12784	2273
849	12801	2259
850	12812	2243
851	12822	2227
852	12832	2211
853	12842	2195
854	12853	2179
855	12863	2163
856	12873	2148
857	12884	2132
858	12895	2116
859	12906	2100
860	12918	2085
861	12929	2069
862	12940	2054
863	12951	2038
864	12961	2022
865	12971	2007
866	12982	1991
867	12993	1975
868	13004	1960
869	13018	1945
870	13031	1929
871	13041	1914
872	13052	1898
873	13063	1883
874	13074	1867
875	13085	1852
876	13095	1836
877	13106	1821
878	13117	1805
879	13128	1790
880	13139	1774
881	13149	1759
882	13160	1743
883	13171	1728
884	13181	1712
885	13192	1697
886	13204	1682
887	13215	1666
888	13225	1651
889	13236	1635
890	13247	1620
891	13258	1605
892	13268	1589
893	13279	1574
894	13290	1559
895	13305	1544
896	13321	1529
897	13336	1514
898	13352	1500
899	13365	1485
900	13376	1469
901	13387	1454
902	13398	1439
903	13409	1424
904	13420	1408
905	13431	1393
906	13441	1378
907	13452	1362
908	13462	1347
909	13473	1332
910	13483	1317
911	13493	1302
912	13504	1286
913	13514	1271
914	13525	1256
915	13536	1241
916	13547	1226
917	13557	1211
918	13567	1195
919	13578	1180
920	13589	1165
921	13599	1150
922	13610	1135
923	13620	1120
924	13631	1105
925	13642	1090
926	13653	1075
927	13664	1060
928	13674	1045
929	13685	1030
930	13696	1015
931	13707	1000
932	13718	985
933	13727	970
934	13738	955
935	13748	940
936	13757	925
937	13768	910
938	13778	895
939	13789	880
940	13798	865
941	13809	850
942	13820	835
943	13829	820
944	13840	805
945	13851	790
946	13862	775
947	13873	760
948	13884	746
949	13894	731
950	13905	716
951	13917	701
952	13926	686
953	13937	672
954	13947	657
955	13958	642
956	13969	627
957	13980	612
958	13989	598
959	14010	583
